station,linename,station_new,linename_new,Latitude,Longitude
PRESIDENT ST,25,PRESIDENT ST,25,40.6678836,-73.9505892
PRINCE ST,NRW,PRINCE ST,NRW,40.72432867,-73.997702
PROSPECT AV,R,PROSPECT AV,R,40.66541367,-73.992872
PROSPECT AV,25,PROSPECT AV,25,40.81948726,-73.90177779
PROSPECT PARK,BQS,PROSPECT PARK,BQS,40.66163346,-73.9620313
QUEENS PLAZA,EMR,QUEENS PLAZA,EMR,40.74891772,-73.93713824
QUEENSBORO PLZ,7NQW,QUEENSBORO PLZ,7NQW,40.75063565,-73.94016354
RALPH AV,C,RALPH AV,C,40.678822,-73.920786
RECTOR ST,NRW,RECTOR ST,NRW,40.70774476,-74.01297456
RECTOR ST,1,RECTOR ST,1,40.707513,-74.013783
ROCKAWAY AV,C,ROCKAWAY AV,C,40.67834,-73.911946
ROCKAWAY AV,3,ROCKAWAY AV,3,40.66261749,-73.90895834
ROCKAWAY BLVD,A,ROCKAWAY BLVD,A,40.680429,-73.843853
ROCKAWAY PARK B,AS,ROCKAWAY PARK B,AS,40.58095587,-73.83559009
ROOSEVELT ISLND,F,ROOSEVELT ISLND,F,40.759172,-73.953235
SARATOGA AV,3,SARATOGA AV,3,40.66152979,-73.91633025
SENECA AVE,M,SENECA AVE,M,40.702919,-73.907582
SHEEPSHEAD BAY,BQ,SHEEPSHEAD BAY,BQ,40.58654755,-73.95405791
SHEPHERD AV,C,SHEPHERD AV,C,40.67413,-73.88075
SIMPSON ST,25,SIMPSON ST,25,40.82397684,-73.8930664
SMITH-9 ST,FG,SMITH-9 ST,FG,40.67364106,-73.99589173
SOUTH FERRY,1RW,SOUTH FERRY,1RW,40.70173051,-74.01316896
SPRING ST,CE,SPRING ST,CE,40.726227,-74.003739
SPRING ST,6,SPRING ST,6,40.722301,-73.997141
ST LAWRENCE AV,6,ST LAWRENCE AV,6,40.831509,-73.867618
ST. GEORGE,1,ST. GEORGE,1,40.64400274,-74.07333546
STEINWAY ST,MR,STEINWAY ST,MR,40.75698736,-73.92052647
STERLING ST,25,STERLING ST,25,40.66277299,-73.95072891
SUTPHIN BLVD,F,SUTPHIN BLVD,F,40.705418,-73.810833
SUTPHIN-ARCHER,EJZ,SUTPHIN-ARCHER,EJZ,40.70038242,-73.80800472
SUTTER AV,L,SUTTER AV,L,40.669145,-73.901916
SUTTER AV-RUTLD,3,SUTTER AV-RUTLD,3,40.66476679,-73.92252119
TIMES SQ-42 ST,ACENQRS1237W,TIMES SQ-42 ST,1237ACENQRSW,40.75529,-73.987495
TIMES SQ-42 ST,1237ACENQRSW,TIMES SQ-42 ST,1237ACENQRSW,40.75529,-73.987495
TIMES SQ-42 ST,1237ACENQRS,TIMES SQ-42 ST,1237ACENQRSW,40.75529,-73.987495
TOMPKINSVILLE,1,TOMPKINSVILLE,1,40.63777315,-74.07515765
TREMONT AV,BD,TREMONT AV,BD,40.85041,-73.905227
UNION ST,R,UNION ST,R,40.67731567,-73.98311
UTICA AV,AC,UTICA AV,AC,40.679364,-73.930729
V.CORTLANDT PK,1,V.CORTLANDT PK,1,40.889248,-73.898583
VAN SICLEN AV,JZ,VAN SICLEN AV,JZ,40.67802821,-73.89165773
VAN SICLEN AV,3,VAN SICLEN AV,3,40.66551796,-73.88940492
VAN SICLEN AVE,C,VAN SICLEN AVE,C,40.67271,-73.890358
VERNON-JACKSON,7,VERNON-JACKSON,7,40.742626,-73.953581
W 4 ST-WASH SQ,ABCDEFM,W 4 ST-WASH SQ,ABCDEFM,40.732338,-74.000495
W 8 ST-AQUARIUM,FQ,W 8 ST-AQUARIUM,FQ,40.57603382,-73.97595787
WAKEFIELD/241,2,WAKEFIELD/241,2,40.903125,-73.85062
WALL ST,23,WALL ST,23,40.706821,-74.0091
WALL ST,45,WALL ST,45,40.707557,-74.011862
WEST FARMS SQ,25,WEST FARMS SQ,25,40.84020763,-73.87996128
WESTCHESTER SQ,6,WESTCHESTER SQ,6,40.839892,-73.842952
WHITEHALL S-FRY,R1W,WHITEHALL S-FRY,R1W,40.70314237,-74.01300724
WHITLOCK AV,6,WHITLOCK AV,6,40.826525,-73.886283
WILSON AV,L,WILSON AV,L,40.68886654,-73.9039586
WINTHROP ST,25,WINTHROP ST,25,40.65665931,-73.95007935
WOODHAVEN BLVD,JZ,WOODHAVEN BLVD,JZ,40.693704,-73.852052
WOODHAVEN BLVD,MR,WOODHAVEN BLVD,MR,40.73309737,-73.86943209
WOODLAWN,4,WOODLAWN,4,40.886037,-73.878751
WORLD TRADE CTR,ACE23,PARK PLACE,ACE23,40.71256393,-74.00974462
WTC-CORTLANDT,1,WTC-CORTLANDT,1,40.711835,-74.012188
YORK ST,F,YORK ST,F,40.69974267,-73.986885
ZEREGA AV,6,ZEREGA AV,6,40.836488,-73.847036
